n_order,payment_mean,payment_std,"(6.621, 505.438]","(505.438, 999.316]","(999.316, 1493.194]","(1493.194, 1987.072]","(1987.072, 2480.95]","(2480.95, 2974.828]","(4456.462, 4950.34]",{'agro_industria_e_comercio'},"{'alimentos', 'pet_shop'}",{'alimentos'},"{'alimentos_bebidas', 'utilidades_domesticas'}",{'alimentos_bebidas'},"{'artes', 'moveis_decoracao'}",{'artes'},{'artes_e_artesanato'},{'artigos_de_festas'},{'artigos_de_natal'},"{'audio', 'relogios_presentes'}",{'audio'},"{'automotivo', 'moveis_decoracao'}",{'automotivo'},"{'bebes', 'automotivo'}","{'bebes', 'moveis_decoracao'}","{'bebes', 'utilidades_domesticas'}",{'bebes'},{'bebidas'},"{'beleza_saude', 'bebidas'}","{'beleza_saude', 'cama_mesa_banho'}","{'beleza_saude', 'malas_acessorios'}","{'beleza_saude', 'perfumaria'}",{'beleza_saude'},"{'brinquedos', 'bebes'}","{'brinquedos', 'cama_mesa_banho'}","{'brinquedos', 'cool_stuff'}",{'brinquedos'},"{'cama_mesa_banho', 'bebes'}","{'cama_mesa_banho', 'cool_stuff'}","{'cama_mesa_banho', 'fashion_bolsas_e_acessorios'}","{'cama_mesa_banho', 'ferramentas_jardim'}","{'cama_mesa_banho', 'informatica_acessorios'}","{'cama_mesa_banho', 'moveis_decoracao'}","{'cama_mesa_banho', 'utilidades_domesticas'}",{'cama_mesa_banho'},"{'casa_conforto', 'cama_mesa_banho', 'moveis_decoracao'}","{'casa_conforto', 'cama_mesa_banho'}",{'casa_conforto'},{'casa_conforto_2'},"{'casa_construcao', 'moveis_decoracao'}",{'casa_construcao'},{'cine_foto'},{'climatizacao'},"{'consoles_games', 'esporte_lazer'}",{'consoles_games'},{'construcao_ferramentas_construcao'},{'construcao_ferramentas_ferramentas'},{'construcao_ferramentas_iluminacao'},{'construcao_ferramentas_jardim'},{'construcao_ferramentas_seguranca'},"{'cool_stuff', 'bebes'}","{'cool_stuff', 'relogios_presentes'}",{'cool_stuff'},{'dvds_blu_ray'},{'eletrodomesticos'},{'eletrodomesticos_2'},{'eletronicos'},{'eletroportateis'},"{'esporte_lazer', 'alimentos_bebidas'}","{'esporte_lazer', 'beleza_saude'}","{'esporte_lazer', 'ferramentas_jardim'}","{'esporte_lazer', 'moveis_escritorio'}","{'esporte_lazer', 'perfumaria'}","{'esporte_lazer', 'pet_shop', 'moveis_decoracao'}","{'esporte_lazer', 'relogios_presentes'}","{'esporte_lazer', 'utilidades_domesticas'}",{'esporte_lazer'},"{'fashion_bolsas_e_acessorios', 'bebes'}","{'fashion_bolsas_e_acessorios', 'fashion_roupa_infanto_juvenil'}",{'fashion_bolsas_e_acessorios'},{'fashion_calcados'},"{'fashion_esporte', 'fashion_bolsas_e_acessorios'}",{'fashion_esporte'},{'fashion_roupa_feminina'},{'fashion_roupa_masculina'},{'fashion_underwear_e_moda_praia'},"{'ferramentas_jardim', 'bebes'}","{'ferramentas_jardim', 'informatica_acessorios'}","{'ferramentas_jardim', 'moveis_decoracao'}",{'ferramentas_jardim'},{'fraldas_higiene'},{'industria_comercio_e_negocios'},{'informatica_acessorios'},"{'instrumentos_musicais', 'fashion_bolsas_e_acessorios', 'automotivo'}","{'instrumentos_musicais', 'moveis_decoracao'}",{'instrumentos_musicais'},{'la_cuisine'},{'livros_importados'},{'livros_interesse_geral'},{'livros_tecnicos'},{'malas_acessorios'},"{'market_place', 'cama_mesa_banho', 'perfumaria'}","{'market_place', 'utilidades_domesticas'}",{'market_place'},{'moveis_colchao_e_estofado'},"{'moveis_cozinha_area_de_servico_jantar_e_jardim', 'cama_mesa_banho'}","{'moveis_cozinha_area_de_servico_jantar_e_jardim', 'utilidades_domesticas'}",{'moveis_cozinha_area_de_servico_jantar_e_jardim'},"{'moveis_decoracao', 'relogios_presentes'}",{'moveis_decoracao'},{'moveis_escritorio'},{'moveis_quarto'},{'moveis_sala'},{'musica'},"{'papelaria', 'moveis_decoracao'}",{'papelaria'},"{'pc_gamer', 'cool_stuff'}",{'pcs'},"{'perfumaria', 'moveis_decoracao'}",{'perfumaria'},"{'pet_shop', 'perfumaria'}",{'pet_shop'},{'portateis_casa_forno_e_cafe'},{'portateis_cozinha_e_preparadores_de_alimentos'},"{'relogios_presentes', 'moveis_decoracao'}",{'relogios_presentes'},{'sinalizacao_e_seguranca'},{'tablets_impressao_imagem'},{'telefonia'},{'telefonia_fixa'},"{'utilidades_domesticas', 'market_place'}","{'utilidades_domesticas', 'moveis_decoracao'}",{'utilidades_domesticas'},rev_mean,rev_std,days_since_last_order,age
2,142.28,166.24080425695732,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.7071067811865476,1897,2042
2,498.98,501.2114286406486,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.8284271247461903,1899,2062
2,90.015,63.53354428961129,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1841,1932
2,94.995,5.819488809165294,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1930,1930
3,115.84333333333332,42.769980515933526,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.3094010767585034,1731,1898
2,64.205,15.506851711420984,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.8284271247461903,1616,1919
2,70.535,46.449844456144305,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1771,1771
2,59.30500000000001,16.044252865122765,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1775,2044
5,120.78,65.7841880697786,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1.6733200530681511,1703,1941
2,169.06,151.7309731070094,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1814,1814
